ncaa_name,bd_name,school_id,max_season,min_season
Southern U.,Southern,665,2022,2013
Southern California,Southern California,657,2022,2013
Southern Ill.,Southern Illinois,659,2022,2013
SIUE,Southern Illinois-Edwardsville,660,2022,2013
Southern Miss.,Southern Mississippi,664,2022,2013
Saint Mary's (CA),St Mary's,610,2022,2013
St. Bonaventure,St. Bonaventure,596,2022,2013
St. John's (NY),St. John's,603,2022,2013
Saint Joseph's,St. Joseph's,606,2022,2013
Saint Louis,St. Louis,609,2022,2013
Saint Peter's,St. Peter's,617,2022,2013
Stanford,Stanford,674,2022,2013
SFA,Stephen F. Austin State,676,2022,2013
Stetson,Stetson,678,2022,2013
Stony Brook,Stony Brook,683,2022,2013
Tarleton St.,Tarleton State,1395,2022,2013
Temple,Temple,690,2022,2013
Tennessee,Tennessee,694,2022,2013
Tennessee Tech,Tennessee Tech,692,2022,2013
UT Martin,Tennessee-Martin,695,2022,2013
Texas,Texas,703,2022,2013
Texas A&M,Texas A&M,697,2022,2013
A&M-Corpus Christi,Texas A&M-Corpus Christi,26172,2022,2013
TCU,Texas Christian,698,2022,2013
Texas Southern,Texas Southern,699,2022,2013
Texas St.,Texas State,670,2022,2013
Texas Tech,Texas Tech,700,2022,2013
UT Arlington,Texas-Arlington,702,2022,2013
UTRGV,Texas-Rio Grande Valley,536,2022,2013
UTSA,Texas-San Antonio,706,2022,2013
The Citadel,The Citadel,141,2022,2013
Toledo,Toledo,709,2022,2013
Towson,Towson,711,2022,2013
Troy,Troy,716,2022,2013
Tulane,Tulane,718,2022,2013
UC Davis,UC Davis,108,2022,2013
UC Irvine,UC Irvine,109,2022,2013
UC Riverside,UC Riverside,111,2022,2013
UC Santa Barbara,UC Santa Barbara,104,2022,2013
UCLA,UCLA,110,2022,2013
Utah,Utah,732,2022,2013
Utah Valley,Utah Valley,30024,2022,2013
VMI,VMI,741,2022,2013
Valparaiso,Valparaiso,735,2022,2013
Vanderbilt,Vanderbilt,736,2022,2013
Villanova,Villanova,739,2022,2013
Virginia,Virginia,746,2022,2013
VCU,Virginia Commonwealth,740,2022,2013
Virginia Tech,Virginia Tech,742,2022,2013
Wagner,Wagner,748,2022,2013
Wake Forest,Wake Forest,749,2022,2013
Washington,Washington,756,2022,2013
Washington St.,Washington State,754,2022,2013
West Virginia,West Virginia,768,2022,2013
Western Caro.,Western Carolina,769,2022,2013
Western Ill.,Western Illinois,771,2022,2013
Western Ky.,Western Kentucky,772,2022,2013
Western Mich.,Western Michigan,774,2022,2013
Wichita St.,Wichita State,782,2022,2013
William & Mary,William and Mary,786,2022,2013
Winthrop,Winthrop,792,2022,2013
Milwaukee,Wisconsin-Milwaukee,797,2022,2013
Wofford,Wofford,2915,2022,2013
Wright St.,Wright State,810,2022,2013
Xavier,Xavier,812,2022,2013
Yale,Yale,813,2022,2013
Youngstown St.,Youngstown State,817,2022,2013
Bellarmine,,52,2022,2013
UC San Diego,,112,2022,2013
Purdue Fort Wayne,,308,2022,2013
Merrimack,,410,2022,2013
Louisiana,,671,2022,2013
