Jersey,name,Yr,pos,GP,GS,App,GS,ERA,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,KL,pickoffs,season
38,Jeremy Rivera,Jr,P,3,2,3,2,10.57,7.2,0,15,12,9,3,9,0,40,35,3,0,0,1,4,1,0,0,0,1,0,81,4,7,0,1,0,2,0,2022
12,Kenny Allred,Sr,P,3,0,1,0,0.0,0.0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2022
20,Ricardo Rivera,Jr,P,3,0,3,0,22.50,2.0,0,3,5,5,2,4,0,13,9,1,0,0,0,0,2,0,2,0,0,0,16,0,2,0,0,0,1,0,2022
29,Ct Dodd,Sr,P,2,0,2,0,21.60,1.2,0,4,4,4,2,0,0,11,9,1,0,0,1,0,0,0,0,0,0,0,30,3,2,0,0,0,0,0,2022
37,Shadai Colon,Fr,P,2,0,2,0,6.75,2.2,0,3,3,2,1,1,0,13,11,1,0,0,0,0,1,0,2,1,0,0,14,3,3,0,0,0,0,0,2022
35,Xavier Williams,Fr,P,1,0,1,0,0.00,1.0,0,0,0,0,1,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,2022
30,Jc Sewell,Jr,P,7,0,7,0,0.00,3.0,0,3,0,0,1,1,0,12,11,1,0,0,0,1,0,0,8,3,0,0,26,3,4,0,0,0,0,0,2022
35,Dalton Skinner,Jr,P,7,0,7,0,3.18,5.2,0,2,2,2,4,9,0,26,19,1,0,0,0,1,3,0,7,1,0,0,17,2,6,0,0,2,3,0,2022
34,Carson Myers,Fr,P,6,0,6,0,9.82,7.1,0,8,9,8,7,8,0,36,27,2,0,0,0,0,1,0,4,0,1,0,27,7,4,2,2,0,4,0,2022
29,Jonah Smith,So,P,6,0,6,0,5.87,7.2,0,8,5,5,5,6,0,37,28,1,0,0,2,0,2,2,12,5,1,1,17,7,9,1,1,1,4,0,2022
14,Thomas Ballard,Fr,P,6,1,6,1,2.93,15.1,0,15,6,5,9,11,0,68,56,1,1,1,0,2,0,0,7,3,1,2,87,9,23,3,1,0,4,0,2022
8,Brady Greene,Sr,P,6,0,6,0,1.04,8.2,0,4,1,1,2,10,0,33,27,1,0,0,0,0,3,0,6,3,1,0,22,8,6,1,0,2,3,0,2022
36,Tyler O'Clair,Jr,P,5,5,5,5,7.78,19.2,0,22,22,17,12,18,0,98,81,4,1,0,3,3,3,1,0,0,1,1,69,19,21,1,0,0,4,0,2022
22,Carson Knight,So,P,5,2,5,2,6.55,11.0,0,9,8,8,10,13,0,56,42,4,1,0,0,3,4,1,3,1,0,0,52,5,15,0,0,0,6,0,2022
24,Aidan Moza,Fr,P,5,0,5,0,3.86,4.2,0,8,8,2,2,5,0,28,23,1,0,0,0,0,3,0,3,0,0,0,60,4,4,0,0,0,1,0,2022
31,Jackson Reynolds,Sr,P,5,5,5,5,3.25,27.2,0,27,18,10,7,29,0,120,109,2,0,1,4,2,3,0,0,0,1,0,72,22,30,1,1,0,8,0,2022
44,Collin Taylor,Sr,P,5,0,5,0,1.42,6.1,0,5,1,1,2,7,0,25,22,0,0,1,0,0,1,0,5,3,0,0,25,4,5,0,0,1,2,0,2022
33,Brooks Walton,Jr,P,4,4,4,4,2.91,21.2,1,16,8,7,3,7,0,83,79,3,1,0,2,3,1,0,0,0,0,0,0,29,25,3,0,0,2,0,2022
5,Leo Harris,So,P,3,0,3,0,7.71,2.1,0,4,4,2,1,1,0,11,9,0,0,0,0,1,1,0,1,0,0,0,0,2,2,0,0,0,0,0,2022
39,Nick Wright,So,P,2,0,2,0,9.00,1.0,0,3,2,1,4,2,0,11,7,1,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,1,0,2022
20,Zaylen Perry,Fr,P,1,0,1,0,0.00,1.0,0,0,0,0,0,1,0,3,2,0,0,0,0,2,0,0,2,2,0,1,17,1,1,0,0,0,0,0,2022
17,Austin Stump,Sr,P,1,0,1,0,9.00,1.0,0,3,1,1,0,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,2,0,2022
9,Cregg Scherrer,So,P,7,2,7,2,4.80,15.0,0,13,12,8,14,20,0,75,58,2,0,1,1,4,2,0,0,0,0,1,224,10,14,1,1,0,3,1,2022
2,Marshall Winn,Sr,P,7,0,7,0,7.11,6.1,0,5,5,5,7,9,0,31,24,2,1,0,0,0,0,0,0,0,0,0,82,3,7,0,0,0,3,0,2022
17,Nicholas Jessen,Fr,P,6,0,6,0,2.79,9.2,0,8,3,3,5,12,0,44,38,4,1,1,0,1,1,0,3,1,0,0,91,8,9,1,0,0,2,0,2022
21,Joseph Tobia,Fr,P,6,1,6,1,7.00,9.0,0,15,8,7,3,4,0,44,38,2,0,0,1,0,1,0,3,3,1,1,80,12,8,1,1,0,0,0,2022
8,Rob Manetta,So,P,6,0,6,0,8.64,8.1,0,11,8,8,0,5,0,36,33,3,0,0,2,0,2,0,4,2,0,1,81,7,11,1,0,2,1,0,2022
23,Owen Birkman,So,P,5,0,5,0,4.26,6.1,0,6,4,3,7,3,0,37,24,2,0,0,0,2,4,0,2,0,0,2,86,7,9,0,0,0,2,0,2022
33,Steven Turk,So,P,5,0,5,0,8.31,4.1,0,6,4,4,1,1,0,20,18,0,0,0,1,0,0,0,2,0,1,0,49,8,4,0,0,0,1,0,2022
