Jersey,name,Yr,pos,GP,GS,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,season
25,Trent Touchet,Sr,C,20,20,14,80,24,5,0,32,1,16,5,3,3,0,15,1,0,0,1,0,2022
12,Clayton Chadwick,So,OF,20,20,26,76,30,6,1,38,0,13,13,3,1,0,11,0,1,1,2,0,2022
6,Easton Loyd,So,INF,18,18,9,64,21,3,1,26,0,14,9,0,1,0,7,1,3,0,0,0,2022
3,Walker Janek,Fr,UT,15,15,10,55,17,0,0,20,1,9,4,5,0,1,14,2,1,0,2,0,2022
20,Lane Brewster,Fr,OF,14,7,6,23,3,0,0,3,0,2,1,0,0,0,8,1,0,0,2,0,2022
41,Jacob Guerrero,Jr,OF,13,10,7,43,12,1,1,18,1,8,3,1,1,0,1,1,0,0,0,0,2022
2,Anthony Mackenzie,So,INF,13,13,11,49,10,5,0,15,0,5,13,1,1,0,14,2,0,0,4,0,2022
1,Myles Jefferson,Jr,INF,12,11,10,43,16,3,0,19,0,5,3,1,1,1,12,2,0,0,3,0,2022
8,Christian Smith,Sr,OF,9,5,5,21,2,1,0,6,1,2,7,1,0,0,5,1,0,0,0,0,2022
14,Gavi Coldiron,Jr,P,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
15,Lance Lusk,Sr,P,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
9,Luke Repka,Jr,INF,8,5,3,20,6,4,0,10,0,3,7,0,0,0,6,0,0,1,0,0,2022
4,Brandon Pruitt,Jr,UT,7,4,2,13,1,1,0,2,0,1,2,1,0,0,3,1,0,0,0,0,2022
17,Alex Havlicek,Jr,P,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
18,Tyler Davis,Sr,UT,7,6,1,20,4,2,0,6,0,4,3,2,0,0,7,0,0,0,0,1,2022
10,Wes Folse,So,C,7,6,1,22,3,0,1,5,0,3,0,1,0,0,7,0,0,0,0,0,2022
41,Cole Wesneski,Sr,P,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
32,Blaine Romero,Jr,P,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
47,Logan Hewitt,Fr,P,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
45,Hunter Murray,Sr,P,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
19,Matt Rudis,Jr,P,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
26,Steven Beard,Jr,P,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
37,Matt Dillard,Jr,P,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
43,Hunter Autrey,Fr,INF,4,0,1,3,1,0,0,4,1,2,0,0,0,0,1,0,0,0,0,0,2022
36,Coltin Atkinson,So,P,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
